music_num,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
164,71,0.953,0.43200000000000005,258653,0.261,0.0034200000000000003,E,0.0903,-12.591,Major,0.0512,89.56700000000001,4/4,0.273
165,77,0.716,0.655,169175,0.569,7.400000000000001e-06,C#,0.135,-5.018,Minor,0.0349,150.267,4/4,0.44
166,59,0.0791,0.431,184893,0.831,0.0,G#,0.312,-5.1080000000000005,Major,0.0474,167.96,4/4,0.35200000000000004
167,67,0.201,0.759,136760,0.733,0.0,A#,0.13,-7.015,Minor,0.165,144.96,4/4,0.41100000000000003
168,69,0.085,0.752,231827,0.6779999999999999,1.64e-06,F,0.13,-5.421,Major,0.0646,96.009,4/4,0.583
169,33,0.5710000000000001,0.154,137207,0.0605,0.93,G,0.165,-17.394000000000002,Major,0.0417,74.277,4/4,0.0377
170,36,0.20600000000000002,0.522,179067,0.055,0.898,D,0.0615,-20.222,Major,0.179,179.926,4/4,0.18600000000000003
171,30,0.6990000000000001,0.39399999999999996,98720,0.183,0.256,C#,0.18,-13.081,Major,0.0493,141.78799999999998,4/4,0.0714
172,35,0.00419,0.294,293253,0.721,0.861,G,0.0992,-11.444,Minor,0.0725,129.986,4/4,0.0616
173,66,0.0357,0.604,217413,0.603,0.0,G,0.126,-6.324,Minor,0.0389,94.98899999999999,4/4,0.15
174,64,0.0551,0.723,220067,0.648,3.6099999999999997e-05,B,0.298,-6.522,Minor,0.0426,151.035,4/4,0.369
175,75,0.11699999999999999,0.672,182084,0.622,0.0,F,0.113,-7.421,Minor,0.17600000000000002,100.016,4/4,0.561
176,63,0.285,0.557,192075,0.784,0.0,E,0.121,-4.3260000000000005,Minor,0.10300000000000001,145.05700000000002,4/4,0.151
177,42,0.956,0.222,92293,0.11699999999999999,0.000279,D,0.0835,-17.759,Minor,0.0367,182.792,4/4,0.489
178,35,0.9690000000000001,0.276,78187,0.151,0.963,E,0.106,-20.441,Minor,0.0344,113.23,5/4,0.21600000000000003
179,65,0.39299999999999996,0.615,260667,0.514,0.0,B,0.248,-9.759,Major,0.0466,175.84900000000002,4/4,0.8220000000000001
180,69,0.0569,0.682,189325,0.831,0.0,B,0.0927,-4.234,Minor,0.253,155.12,4/4,0.785
181,25,0.889,0.172,188360,0.198,0.217,G,0.18,-17.11,Minor,0.0365,123.575,3/4,0.0339
182,72,0.044000000000000004,0.807,254493,0.419,4.99e-06,A,0.0952,-8.189,Major,0.0426,103.96700000000001,4/4,0.613
183,61,0.0918,0.805,185045,0.812,4.34e-05,D,0.10400000000000001,-6.353,Major,0.0839,114.98200000000001,3/4,0.759
184,92,0.6970000000000001,0.5529999999999999,196373,0.586,0.0,B,0.0813,-6.319,Major,0.0362,126.684,4/4,0.44299999999999995
185,76,0.23600000000000002,0.584,170667,0.42,0.0,G#,0.11900000000000001,-7.827000000000001,Major,0.0322,90.051,4/4,0.28300000000000003
186,59,0.36200000000000004,0.765,207507,0.622,2.15e-06,F,0.146,-4.9319999999999995,Minor,0.10300000000000001,104.015,4/4,0.47600000000000003
187,40,0.6409999999999999,0.134,142027,0.49700000000000005,0.941,F,0.0756,-15.27,Major,0.0464,72.40899999999999,4/4,0.0636
188,30,0.61,0.586,233720,0.35200000000000004,0.285,A,0.10400000000000001,-12.402999999999999,Major,0.0375,157.79399999999998,4/4,0.10099999999999999
189,49,0.895,0.295,310013,0.11900000000000001,0.8859999999999999,F,0.0881,-19.872,Major,0.0301,71.721,1/4,0.102
190,38,0.968,0.732,265153,0.151,0.863,F,0.102,-14.16,Major,0.0481,103.97,4/4,0.598
191,35,0.517,0.168,242600,0.293,0.8740000000000001,E,0.14,-14.175,Major,0.0426,135.284,4/4,0.0307
192,64,0.21899999999999997,0.677,294093,0.531,0.0,G,0.17300000000000001,-7.683,Minor,0.0327,91.104,4/4,0.57
193,31,0.0522,0.149,169307,0.0563,0.433,E,0.11,-19.254,Major,0.0478,137.09,5/4,0.0964
194,61,0.0103,0.5539999999999999,206827,0.903,0.0,G#,0.107,-3.1519999999999997,Major,0.0515,112.99799999999999,4/4,0.419
195,59,0.0015,0.614,241933,0.9309999999999999,0.00031299999999999996,E,0.127,-2.344,Minor,0.0268,125.98100000000001,4/4,0.727
196,28,0.951,0.135,338867,0.313,0.932,C,0.11900000000000001,-13.783,Major,0.0391,60.775,4/4,0.0373
197,36,0.99,0.0968,130787,0.304,0.0766,F,0.105,-19.055,Major,0.0575,78.87,3/4,0.0394
198,84,0.353,0.679,194711,0.38799999999999996,9.25e-05,E,0.341,-10.977,Minor,0.0932,124.90899999999999,4/4,0.23399999999999999
199,23,0.397,0.14,348240,0.436,0.9179999999999999,A,0.10099999999999999,-13.905,Minor,0.0478,99.25399999999999,3/4,0.061
200,31,0.9690000000000001,0.231,99640,0.14400000000000002,0.95,F#,0.0787,-21.545,Minor,0.0542,80.123,4/4,0.0386
201,63,0.015,0.423,313909,0.536,0.0,G,0.095,-3.8,Major,0.16,71.313,5/4,0.0895
202,66,0.051,0.8859999999999999,182491,0.629,7.66e-06,C#,0.121,-4.404,Minor,0.306,158.002,4/4,0.48700000000000004
203,66,0.00187,0.552,299733,0.645,1.38e-06,G,0.0424,-6.595,Major,0.0268,89.51799999999999,4/4,0.588
204,64,0.7609999999999999,0.626,291400,0.441,0.0138,A,0.0685,-10.637,Minor,0.0308,78.094,4/4,0.563
205,52,0.993,0.396,114707,0.0856,0.895,G,0.0996,-24.822,Minor,0.0554,77.083,3/4,0.0327
206,65,0.591,0.613,224144,0.34700000000000003,0.0,F,0.0959,-6.486000000000001,Major,0.034,109.764,4/4,0.25
207,41,0.985,0.434,61667,0.00246,0.114,C#,0.11,-23.403000000000002,Major,0.077,86.479,3/4,0.153
208,47,0.8420000000000001,0.154,351667,0.127,0.92,G,0.327,-16.941,Major,0.0389,78.847,4/4,0.0345
209,62,0.738,0.5670000000000001,496173,0.455,0.0,F#,0.708,-11.75,Minor,0.496,127.00200000000001,4/4,0.35100000000000003
210,36,0.375,0.429,172719,0.478,0.637,G,0.18600000000000003,-10.372,Minor,0.0301,64.97,4/4,0.311
211,65,0.114,0.624,177152,0.68,6.78e-05,A,0.0614,-7.285,Minor,0.0421,91.99799999999999,4/4,0.11699999999999999
212,38,0.98,0.155,221267,0.0041600000000000005,0.515,A#,0.0878,-33.9,Major,0.0395,89.916,1/4,0.0363
213,56,0.11900000000000001,0.7509999999999999,203489,0.784,0.0,A,0.071,-4.876,Minor,0.175,117.016,4/4,0.762
214,62,0.47,0.221,116480,0.32,0.8640000000000001,F#,0.114,-11.829,Major,0.0315,103.51100000000001,3/4,0.23399999999999999
215,32,0.141,0.217,127667,0.139,0.8959999999999999,G,0.121,-16.54,Major,0.0367,76.32600000000001,3/4,0.0275
216,27,0.9790000000000001,0.127,64027,0.0266,0.946,C,0.10300000000000001,-24.845,Major,0.0378,94.56299999999999,3/4,0.125
217,66,0.0207,0.757,192377,0.711,3.04e-05,G#,0.11,-5.693,Major,0.0769,113.02600000000001,4/4,0.649
218,44,0.696,0.188,123467,0.152,0.838,D,0.114,-15.807,Minor,0.038,171.233,4/4,0.25
219,32,0.5539999999999999,0.26899999999999996,58267,0.146,0.815,C,0.111,-28.93,Major,0.0381,83.79700000000001,4/4,0.0254
220,34,0.6,0.371,141253,0.0635,0.87,C,0.11,-24.8,Minor,0.0385,159.928,4/4,0.0314
221,71,0.0439,0.764,223933,0.6940000000000001,3.67e-06,B,0.18,-5.745,Minor,0.18899999999999997,146.075,4/4,0.581
222,28,0.8240000000000001,0.594,80667,0.523,0.956,A,0.134,-11.864,Minor,0.0435,119.03399999999999,4/4,0.524
223,56,0.452,0.162,107767,0.0872,0.95,A,0.102,-18.7,Minor,0.0333,71.15,4/4,0.0348
224,65,0.7390000000000001,0.433,229935,0.336,4.88e-06,D,0.318,-9.345,Minor,0.0433,87.554,4/4,0.157
225,65,0.42200000000000004,0.396,271467,0.358,1.7100000000000002e-05,A,0.19,-8.294,Major,0.0292,103.807,4/4,0.111
226,34,0.902,0.0667,350920,0.0905,0.935,C#,0.11,-29.26,Minor,0.0482,60.361000000000004,4/4,0.0372
227,73,0.452,0.6609999999999999,224224,0.762,0.0,F,0.162,-4.3069999999999995,Major,0.0402,101.99,4/4,0.583
228,31,0.622,0.5710000000000001,259667,0.358,0.943,G,0.135,-18.497,Major,0.0363,80.993,3/4,0.126
229,71,0.124,0.7070000000000001,252026,0.562,1.58e-05,C,0.561,-7.621,Major,0.0305,98.094,4/4,0.418
230,65,0.083,0.7240000000000001,246333,0.6890000000000001,0.0,D,0.304,-5.922000000000001,Minor,0.135,146.496,4/4,0.693
231,63,0.37200000000000005,0.76,303889,0.603,0.0,F,0.11199999999999999,-5.898,Major,0.12,97.887,4/4,0.515
232,58,0.255,0.41200000000000003,208667,0.59,0.0325,B,0.177,-12.277000000000001,Major,0.0701,85.824,4/4,0.653
233,41,0.826,0.396,347387,0.23399999999999999,0.597,G,0.109,-11.728,Major,0.0358,120.574,4/4,0.21899999999999997
234,65,0.976,0.47600000000000003,98040,0.192,0.9279999999999999,A,0.11900000000000001,-15.753,Major,0.064,116.542,3/4,0.114
